Date,Year,Month,NAA_Flow_cfs,NAA_Pref_Velocity_Depth_TotlArea_Sq_ft,NAA_Pref_Velocity_Depth_TotArea_Acres
1/31/1945 0:00,1945,1,6099.5496377028,7058471.60363824,162
5/31/1994 0:00,1994,5,6105.1943344466,5843504.19138,134
8/31/1944 0:00,1944,8,6114.2558906846,6437512.10945559,148
4/30/1947 0:00,1947,4,6114.7743253519,5450303.89826569,125
8/31/1964 0:00,1964,8,6119.5779952887,6432304.14342024,148
2/28/1931 0:00,1931,2,6125.8491397304,8404930.97980549,193
11/30/1949 0:00,1949,11,6155.8787079556,6437308.77691917,148
4/30/1949 0:00,1949,4,6157.872702469,5461912.74390951,125
10/31/1969 0:00,1969,10,6161.5426139075,7610863.7757123,175
8/31/1936 0:00,1936,8,6164.6908113669,6248676.50519642,143
8/31/1945 0:00,1945,8,6164.7504636808,6428271.04697794,148
7/31/1932 0:00,1932,7,6173.5262121303,6380911.41150344,146
4/30/1964 0:00,1964,4,6180.7616456942,6141131.11757491,141
6/30/1931 0:00,1931,6,6189.6723416627,6248676.50519642,143
12/31/1976 0:00,1976,12,6208.6394456703,6437308.77691917,148
5/31/1988 0:00,1988,5,6210.5431774809,6251318.13147076,144
8/31/1949 0:00,1949,8,6218.8864220539,6431278.83697459,148
8/31/1979 0:00,1979,8,6230.434536021,5990777.44318973,138
5/31/1947 0:00,1947,5,6232.5401046637,5854391.65670797,134
12/31/1978 0:00,1978,12,6235.2332374165,7588725.223377,174
2/28/1955 0:00,1955,2,6235.8245750835,6378405.15179299,146
10/31/1951 0:00,1951,10,6252.4097037512,6512026.26917094,149
8/31/1929 0:00,1929,8,6256.0533978411,5855416.96315363,134
10/31/1963 0:00,1963,10,6265.8584446565,6944797.32792042,159
5/31/1940 0:00,1940,5,6275.7892466305,6088622.3094737,140
7/31/1935 0:00,1935,7,6282.7660678077,6197900.89424995,142
5/31/1982 0:00,1982,5,6289.4794832419,4544364.7317968,104
10/31/1975 0:00,1975,10,6290.3431655534,5882052.02932356,135
6/30/1924 0:00,1924,6,6302.1553196565,6251684.29519307,144
2/28/1990 0:00,1990,2,6307.9507998867,6378405.15179299,146
4/30/1970 0:00,1970,4,6314.2773519502,5853776.36500741,134
5/31/1968 0:00,1968,5,6329.0683317927,5548289.23639771,127
8/31/1923 0:00,1923,8,6338.2882872137,6346819.85791307,146
12/31/1963 0:00,1963,12,6346.7283702588,7793379.90590503,179
9/30/1981 0:00,1981,9,6349.6188342378,6952887.17914482,160
6/30/1950 0:00,1950,6,6351.6777373569,6280093.31253957,144
8/31/1987 0:00,1987,8,6363.49880427,5813393.1461688,133
10/31/1973 0:00,1973,10,6385.8976965053,6944797.32792042,159
11/30/1961 0:00,1961,11,6388.5376095837,6437308.77691917,148
5/31/2000 0:00,2000,5,6393.9209536021,5443716.26749238,125
5/31/1970 0:00,1970,5,6396.3738795623,5993210.9221061,138
7/31/1950 0:00,1950,7,6401.8219197281,6576109.57502509,151
12/31/1958 0:00,1958,12,6405.3389745348,6815029.9356778,156
4/30/1979 0:00,1979,4,6405.9390789003,5955473.21955455,137
12/31/1948 0:00,1948,12,6406.3820118679,7017371.7752037,161
6/30/1935 0:00,1935,6,6413.6268890148,6524074.55726509,150
12/31/1956 0:00,1956,12,6418.7826268786,6815029.9356778,156
4/30/1955 0:00,1955,4,6423.2772870945,6144590.83935581,141
5/31/1981 0:00,1981,5,6431.1589128101,5671594.07603948,130
6/30/1930 0:00,1930,6,6469.3229007634,6671245.13774509,153
10/31/1940 0:00,1940,10,6469.8675408516,5330055.80726126,122
10/31/1927 0:00,1927,10,6473.1941749165,5744171.43803197,132
5/31/2001 0:00,2001,5,6490.2297709924,6605930.41159425,152
1/31/1992 0:00,1992,1,6494.0771536558,6122715.80299327,141
5/31/1929 0:00,1929,5,6494.9198033457,6059415.71271347,139
4/30/1968 0:00,1968,4,6503.7049320134,6109980.40767581,140
5/31/1985 0:00,1985,5,6512.5145172352,5703206.13227296,131
5/31/1925 0:00,1925,5,6517.511179777,5774977.49296965,133
6/30/1964 0:00,1964,6,6523.1159097686,6674252.92774175,153
12/31/1965 0:00,1965,12,6532.1881157562,5818094.42489902,134
2/29/1932 0:00,1932,2,6548.4567151718,7630053.0975772,175
9/30/1961 0:00,1961,9,6559.3691488252,5590030.23386155,128
2/29/1964 0:00,1964,2,6562.4262471672,6107056.38656033,140
12/31/2000 0:00,2000,12,6579.6063990935,4904258.70801259,113
8/31/1965 0:00,1965,8,6584.8082225072,5690962.05483199,131
11/30/1968 0:00,1968,11,6584.9302123092,6991649.42369214,161
5/31/1959 0:00,1959,5,6589.3927331823,5906206.86530878,136
10/31/2002 0:00,2002,10,6596.2939974952,5178384.79006388,119
11/30/1988 0:00,1988,11,6596.4967967259,5615752.58537311,129
6/30/1990 0:00,1990,6,6601.9514998807,5757611.03507005,132
4/30/1987 0:00,1987,4,6610.9492612417,6029891.92543891,138
5/31/1962 0:00,1962,5,6611.426712339,5922688.15434268,136
9/30/1986 0:00,1986,9,6614.3381642116,5684743.23348013,131
8/31/1972 0:00,1972,8,6617.2792700382,5871581.90305916,135
4/30/1985 0:00,1985,4,6628.4240286558,4600375.13069833,106
4/30/1957 0:00,1957,4,6628.9771752743,4850281.06357252,111
4/30/1936 0:00,1936,4,6638.4411930463,5664454.37183815,130
6/30/1989 0:00,1989,6,6641.7094331465,6089157.36195979,140
10/31/1961 0:00,1961,10,6651.1253995706,4771990.73514939,110
12/31/1953 0:00,1953,12,6660.4053860031,7017371.7752037,161
2/28/1991 0:00,1991,2,6668.7622897782,7017371.7752037,161
7/31/1930 0:00,1930,7,6671.7287884661,5909352.05829112,136
5/31/1923 0:00,1923,5,6684.317877803,6231345.96712653,143
8/31/1971 0:00,1971,8,6692.1260078721,5690962.05483199,131
8/31/1925 0:00,1925,8,6705.3586220778,5636236.07999118,129
6/30/1936 0:00,1936,6,6710.5257022304,5583416.66721048,128
5/31/1951 0:00,1951,5,6710.6835669132,4803372.17121208,110
10/31/1958 0:00,1958,10,6732.2372219406,4771990.73514939,110
4/30/1962 0:00,1962,4,6736.4248307789,5270234.81934814,121
11/30/1955 0:00,1955,11,6744.7445782145,5460099.48353688,125
8/31/1933 0:00,1933,8,6749.2389864623,5037948.99406581,116
10/31/1976 0:00,1976,10,6756.6554724773,4663989.35946939,107
4/30/1972 0:00,1972,4,6759.3078005725,4894585.84330976,112
1/31/1994 0:00,1994,1,6759.4902366114,7536506.41488797,173
5/31/1965 0:00,1965,5,6760.4269300155,5140950.0263797,118
8/31/1982 0:00,1982,8,6760.967531906,5161875.31845378,119
10/31/1948 0:00,1948,10,6765.8925758886,5058569.65145393,116
3/31/1926 0:00,1926,3,6765.9871011749,5426450.67113129,125
8/31/1997 0:00,1997,8,6771.098885526,5374786.08395321,123
1/31/1962 0:00,1962,1,6792.0487297233,6761682.42640398,155
10/31/1928 0:00,1928,10,6800.0531794191,5098296.30782698,117
5/31/2002 0:00,2002,5,6804.3316913168,5551804.610977,127
7/31/1937 0:00,1937,7,6814.7273735687,5912359.84828778,136
10/31/1954 0:00,1954,10,6822.0584603113,4922615.24648592,113
5/31/1984 0:00,1984,5,6826.9125708194,5140950.0263797,118
5/31/1986 0:00,1986,5,6833.4184607586,5841267.81407812,134
6/30/1945 0:00,1945,6,6840.5795890983,5593994.93776291,128
1/31/1922 0:00,1922,1,6842.4080234673,6728425.02405256,154
5/31/1987 0:00,1987,5,6844.6064885496,5898037.59075317,135
12/31/1999 0:00,1999,12,6858.9192010079,5548788.82851212,127
4/30/1980 0:00,1980,4,6866.3522803853,5114287.46451374,117
6/30/1937 0:00,1937,6,6869.4175632157,5966360.10690066,137
5/31/1928 0:00,1928,5,6876.0256247018,5117802.91110238,117
4/30/1961 0:00,1961,4,6881.6971463502,5423631.23508703,125
5/31/1973 0:00,1973,5,6924.4265028626,5013121.91396129,115
12/31/1938 0:00,1938,12,6926.3826984435,5293099.4797124,122
4/30/1994 0:00,1994,4,6928.2449695849,5697370.26324708,131
5/31/1946 0:00,1946,5,6931.3458835282,5199138.78327005,119
6/30/1944 0:00,1944,6,6931.8385555821,5447464.23958879,125
2/28/1923 0:00,1923,2,6932.232823682,7286812.6425813,167
8/31/1984 0:00,1984,8,6932.6736969227,5185232.73047038,119
5/31/1997 0:00,1997,5,6946.7206643607,5773138.25702767,133
5/31/1980 0:00,1980,5,6966.5154759065,4965177.55782861,114
6/30/1979 0:00,1979,6,6968.521830272,5212564.04498516,120
4/30/1939 0:00,1939,4,6994.9836712786,5040037.26302472,116
4/30/1923 0:00,1923,4,7003.6456039778,4417715.71044091,101
8/31/1986 0:00,1986,8,7007.4339098283,5376371.15753466,123
4/30/1984 0:00,1984,4,7013.7166164719,4464755.13396604,102
4/30/1960 0:00,1960,4,7015.3564214575,4874303.11851286,112
8/31/1967 0:00,1967,8,7017.3845479485,4960484.04656534,114
11/30/1962 0:00,1962,11,7030.2694790673,4717560.00731989,108
1/31/1961 0:00,1961,1,7034.4526411916,5323920.14590657,122
8/31/1956 0:00,1956,8,7067.1104633826,5126404.61229965,118
1/31/1975 0:00,1975,1,7080.8125246004,6841191.32326949,157
8/31/1926 0:00,1926,8,7091.1235597567,5379141.72344129,123
4/30/1951 0:00,1951,4,7095.6468571088,4874303.11851286,112
4/30/1959 0:00,1959,4,7096.0841558325,4940707.63143521,113
8/31/1974 0:00,1974,8,7096.1171233898,5038394.56346431,116
8/31/1952 0:00,1952,8,7104.1051556536,4710304.70974279,108
10/31/1967 0:00,1967,10,7110.4993022424,4743074.54521421,109
11/30/1960 0:00,1960,11,7121.2439087846,5277440.06327946,121
5/31/1963 0:00,1963,5,7137.038970062,4812824.56572543,110
3/31/1985 0:00,1985,3,7140.1502400406,6781131.45593127,156
2/29/1976 0:00,1976,2,7151.2805805701,4894283.67594312,112
5/31/1974 0:00,1974,5,7157.6580540315,4725820.5089281,108
8/31/1938 0:00,1938,8,7158.6698383826,5107027.26181006,117
10/31/1956 0:00,1956,10,7167.5919474595,4794320.9863693,110
8/31/1980 0:00,1980,8,7179.5678435115,4990450.20733164,115
5/31/1992 0:00,1992,5,7182.8711981155,5005549.48888466,115
10/31/1943 0:00,1943,10,7194.3684652314,4687117.21527308,108
6/30/1923 0:00,1923,6,7196.8523601503,6031509.39834131,138
1/31/1960 0:00,1960,1,7198.6780072161,6659151.90117927,153
9/30/1966 0:00,1966,9,7200.1516318285,4735916.54579321,109
8/31/1975 0:00,1975,8,7201.9741352576,4710304.70974279,108
11/30/1959 0:00,1959,11,7205.85353948,4321800.9150225,99
3/31/1994 0:00,1994,3,7217.1003965887,6963170.8780215,160
8/31/1942 0:00,1942,8,7221.4630441913,5107027.26181006,117
10/31/1946 0:00,1946,10,7224.5285081703,4687117.21527308,108
2/29/1924 0:00,1924,2,7230.9858994812,6850577.41771817,157
10/31/1922 0:00,1922,10,7241.3677585282,4418389.94876793,101
4/30/2002 0:00,2002,4,7248.3007752863,5106723.56428918,117
11/30/1976 0:00,1976,11,7250.8497808325,4418389.94876793,101
8/31/1978 0:00,1978,8,7253.3182162452,4554814.9659886,105
3/31/1934 0:00,1934,3,7254.4237095957,6876299.76922973,158
2/28/1949 0:00,1949,2,7255.2623605976,5277440.06327946,121
6/30/1982 0:00,1982,6,7260.3060919609,5108878.87767974,117
12/31/1946 0:00,1946,12,7261.7030757992,6772740.29501756,155
6/30/1965 0:00,1965,6,7261.9578408278,5103213.42063987,117
4/30/1922 0:00,1922,4,7267.500631411,4843901.38042364,111
8/31/1941 0:00,1941,8,7269.8441376431,5136581.473692,118
6/30/1926 0:00,1926,6,7269.8707210162,5385725.67534634,124
8/31/1996 0:00,1996,8,7271.7679523497,5150229.06072971,118
10/31/1978 0:00,1978,10,7279.9778678137,4242195.52956469,97
8/31/1927 0:00,1927,8,7292.8744408993,5133491.86261006,118
8/31/1969 0:00,1969,8,7294.6096642414,5113209.13781316,117
6/30/1925 0:00,1925,6,7299.2401911379,5215261.00947141,120
6/30/1949 0:00,1949,6,7303.1034082777,5297131.32671678,122
4/30/1931 0:00,1931,4,7307.1244110806,5358858.99864439,123
5/31/1943 0:00,1943,5,7320.8869692271,4950872.62393891,114
8/31/1963 0:00,1963,8,7323.1898079676,4797281.33391204,110
4/30/1986 0:00,1986,4,7327.1760883826,4434102.76617199,102
8/31/1977 0:00,1977,8,7328.6456330511,4561821.73345584,105
8/31/1973 0:00,1973,8,7330.2000164003,4649950.52870861,107
8/31/1946 0:00,1946,8,7338.0986939408,4937996.47012109,113
4/30/1946 0:00,1946,4,7345.6630725191,4789297.68897409,110
5/31/1966 0:00,1966,5,7355.1252042581,4628858.17047081,106
3/31/1990 0:00,1990,3,7357.4061761987,6626327.23081938,152
11/30/2001 0:00,2001,11,7359.5034276598,4288840.95473346,98
8/31/1940 0:00,1940,8,7362.4598848998,5026591.729212,115
6/30/1962 0:00,1962,6,7367.8998181059,5216654.64560912,120
5/31/1954 0:00,1954,5,7368.9429940959,4645190.47037002,107
10/31/1950 0:00,1950,10,7381.1791328721,4562152.65487297,105
1/31/1944 0:00,1944,1,7383.2064527672,6754320.21447772,155
1/31/1987 0:00,1987,1,7387.0533426765,5285737.26778613,121
6/30/1971 0:00,1971,6,7388.3638403507,5014977.37711706,115
6/30/1940 0:00,1940,6,7395.9017250119,5043019.46432912,116
4/30/1971 0:00,1971,4,7398.6589366651,4757685.63274062,109
8/31/1922 0:00,1922,8,7417.724379771,5086744.53701316,117
1/31/1957 0:00,1957,1,7418.5711824606,6653917.96633712,153
8/31/1991 0:00,1991,8,7422.9550423426,4812479.79050847,110
12/31/1967 0:00,1967,12,7426.3992791329,5285737.26778613,121
10/31/1941 0:00,1941,10,7433.8146797471,4571337.54553998,105
2/28/1985 0:00,1985,2,7442.2902477934,5318686.21106442,122
4/30/1989 0:00,1989,4,7444.7445528686,4405749.03945198,101
6/30/1943 0:00,1943,6,7454.3534619513,5021159.25312016,115
12/31/1924 0:00,1924,12,7460.2674335043,6775897.52108912,156
10/31/1995 0:00,1995,10,7462.8071385973,4643466.73312309,107
8/31/1953 0:00,1953,8,7479.4342751074,4417904.90102905,101
